first_name,last_name,email,address,phone_number,course_id,marks,grade
Carrie,Lamb,ccraig@example.com,"4433 Avery Route Suite 852, Port Jenniferfurt, NH 21049",9981516853,data245,100,A+
Kimberly,House,darrellhayes@example.org,"PSC 1123, Box 5747, APO AA 69805",7038558362,data230,100,A+
Julie,Collins,hudsonamy@example.com,"PSC 0820, Box 7069, APO AE 79293",8041251551,data201,100,A+
Samuel,Clark,jeffreyyoung@example.com,"32588 Jennifer Mill, Sherryfort, MD 52529",9471432742,data220,100,A+
Teresa,Powell,jillharris@example.org,"0711 Valdez Unions Apt. 992, East Jessicaport, LA 77202",8599919259,data255,100,A+
Brad,Collins,kimberlysuarez@example.com,"6428 Thomas Crescent, Caldwelltown, MS 13875",8682950463,data230,100,A+
Elizabeth,Potter,kurt25@example.org,"2183 Susan Turnpike, Lake Danielle, RI 08010",8456492426,data255,100,A+
Elizabeth,Campbell,michelle25@example.com,"359 Callahan Inlet Apt. 439, Rebekahfurt, WY 86635",7952899509,data220,100,A+
Katelyn,Perkins,ryanrhodes@example.org,"Unit 9833 Box 6048, DPO AE 24948",8988496916,data245,100,A+
Timothy,Peterson,webberic@example.com,"769 Thompson Drive Suite 920, South Justinbury, WI 14365",9802708019,data202,100,A+
Kelly,Cruz,xperry@example.org,"927 Ross Orchard Apt. 627, Lucaston, MA 47681",8203279387,data220,100,A+
Joseph,Hayes,brendapayne@example.org,"Unit 9258 Box 4192, DPO AA 64529",9173425582,data202,99,A+
Kristen,Yoder,james56@example.org,"5187 Tamara Station, Bradleyfort, WV 41270",8649108020,data226,99,A+
Neil,Mann,osolis@example.org,"32285 Beck Village Apt. 754, South Tina, KY 91584",7468209702,data220,99,A+
Rachel,Jenkins,sheltonwilliam@example.com,"5206 Jenkins Place Suite 027, Jimenezshire, PR 84267",8903410550,data230,99,A+
Teresa,Hayes,tina57@example.net,"52578 Audrey Freeway, Acostaberg, CO 44377",7693638675,data230,99,A+
Alexander,Burke,watsonmorgan@example.net,"169 Marie Points, East Austin, MO 42597",9633726927,data230,99,A+
Hannah,Fox,xbowen@example.com,"2563 John Loop, Roberthaven, VA 09956",8591270215,data200,99,A+
Adam,Rodriguez,yolanda02@example.com,"64002 Jamie Crossing, New Marktown, CT 39163",7895079444,data228,99,A+
Anna,Davis,alexisstephens@example.org,"695 Joseph Valleys, South Jennifer, MD 19637",8929945376,data202,98,A+
Kristen,Garcia,bakercarl@example.com,"971 Victor Islands Apt. 056, Williamburgh, WY 29349",7328816566,data220,98,A+
James,Morales,christinacannon@example.org,"45693 Emily Brook Suite 794, Ryantown, ME 61893",6587053036,data202,98,A+
Ann,Hodges,collinsgary@example.net,"27684 Fleming Gardens Suite 031, Port Kevinburgh, MD 02004",8486930917,data220,98,A+
Kathleen,Brown,danielmcpherson@example.net,"1620 Chen Brooks Suite 040, Carlside, LA 22433",9876793511,data245,98,A+
Jared,Green,elizabethandrews@example.net,"Unit 5359 Box 4044, DPO AA 57526",6363392991,data245,98,A+
Morgan,Johnson,ethomas@example.com,"722 Jennifer Wall Apt. 358, North Derekmouth, DE 66415",8184932888,data228,98,A+
Jonathon,Butler,harperstephanie@example.org,"8019 Margaret Walk, Lake Daisyburgh, ME 90918",7918194868,data245,98,A+
Cassandra,Perry,lramos@example.com,"51347 Jon Village, Lake Melissa, SC 22833",6012700948,data202,98,A+
Jennifer,Foster,melissapollard@example.net,"4581 Chase Corner Apt. 714, South Tiffanyview, IN 65041",8598724080,data245,98,A+
Sarah,Jones,michaelmartin@example.net,"150 Baker Mission Apt. 213, Kimport, ID 69894",7445077003,data230,98,A+
James,Williams,osteele@example.net,"521 Foster Crest, West Robertchester, SC 60259",6097591508,data230,98,A+
Tamara,Chen,rhodesmegan@example.org,"5527 Michael Parkways, West Emilyton, ND 13309",9405182621,data230,98,A+
Andrea,Mosley,vhanna@example.net,"USNS Ford, FPO AP 85256",6920496512,data245,98,A+
Joseph,Alvarez,dwilson@example.net,"19750 Moreno Orchard, New Maryview, VT 60764",9188369049,data230,97,A+
Angela,Orozco,lwoods@example.org,"9643 Joseph View, Port Shaneview, VA 58932",8245392574,data230,97,A+
Patrick,Diaz,wanda09@example.net,"5344 Clark Circle, East Samuel, OR 40162",7865944484,data220,97,A+
Zachary,Bolton,fstokes@example.net,"9605 Barnett Spur Apt. 023, North Brian, NY 69757",6654942409,data200,96,A+
Kevin,Lynch,johnjones@example.com,"7831 Ortiz Avenue, Kirbyborough, RI 70085",6405559791,data245,96,A+
Hector,May,lrobertson@example.net,"009 Samantha Fort, Port Brittany, VA 77605",7194597236,data202,96,A+
Rebekah,Allen,pachecokaren@example.net,"2953 Buchanan Crossing Suite 827, Catherineside, DC 66474",7984594963,data245,96,A+
Tara,Archer,ramirezstephanie@example.com,"38496 Cruz Harbor, Ashleyland, NV 41868",8280804103,data245,96,A+
Shannon,Johnson,rosesherman@example.org,"070 Reed Alley Suite 970, New John, CO 72880",9698328955,data220,96,A+
Tina,Le,stacyhicks@example.org,"115 Candice Club Suite 752, Carlsonview, MA 96930",7316141933,data230,96,A+
Audrey,Ochoa,terrancecox@example.net,"9877 Arnold Lane Suite 690, East Christopher, SD 68845",7259753171,data245,96,A+
Charles,Phillips,warrenbrooke@example.com,"051 Sara Junction Apt. 671, Port James, AS 15871",8713278049,data226,96,A+
Marie,White,howardharris@example.com,"49273 Monica Bypass, Kevinmouth, NE 22367",6349842731,data245,95,A+
Tracy,Fuller,mkennedy@example.org,"PSC 5792, Box 1383, APO AE 08541",7645862693,data245,95,A+
Danielle,Lloyd,qhines@example.org,"8903 Amy Branch, South John, MT 78094",7398672607,data230,95,A+
Harold,Burton,rachelhoward@example.com,"8455 Carr Hill, New Stacy, MP 36585",6068029389,data220,95,A+
Elaine,Lang,rmoon@example.net,"452 Thomas Locks Suite 974, Petermouth, FL 01474",8023758664,data220,95,A+
Rick,James,robert65@example.org,"662 Walker Mount, Ronnieport, CA 82643",8434352395,data226,95,A+
Lisa,Evans,spowell@example.com,"50283 James Coves, East Melissastad, GA 20486",7099669099,data201,95,A+
Paula,Jackson,stephennelson@example.org,"2409 Christopher Pine, South Ryan, PR 60490",8882811808,data202,95,A+
Courtney,Jensen,william80@example.org,"Unit 2550 Box 1796, DPO AE 00856",8209497429,data201,95,A+
Tina,Thompson,yprice@example.com,"3758 Melissa Grove Suite 433, Taylorview, VA 37716",7214001019,data228,95,A+
Fernando,Ward,carla87@example.org,"PSC 2978, Box 6590, APO AA 02698",7749300835,data228,94,A
Mary,Long,cbrown@example.org,"3037 Chapman Heights Apt. 696, Danielhaven, UT 02460",9788594507,data202,94,A
Cheryl,Young,clayton08@example.com,"PSC 9402, Box 0545, APO AP 94996",7564680540,data255,94,A
Hayden,Carter,harold44@example.net,"6425 Green Port Suite 858, East Jeffery, PA 01156",7303234376,data200,94,A
Corey,Stone,hknight@example.net,"89542 Robert Wall Apt. 755, Port Kevin, AR 66228",8813910488,data230,94,A
Christine,Schmidt,jessica66@example.org,"10775 Rebecca Crescent Suite 901, Melindahaven, TX 34698",8311770817,data226,94,A
Jeffrey,Stewart,jessica72@example.org,"8893 Diane Stream, Port Oliviamouth, KY 53755",8928727849,data245,94,A
David,Hunt,kristinmartinez@example.com,"950 Samuel Walks Apt. 950, New Wandaberg, PA 57322",8513774762,data202,94,A
Kevin,Love,martindouglas@example.com,"15640 Bryant Parkway Apt. 405, Holmeschester, IA 82367",9731151421,data255,94,A
Susan,Watson,matthew76@example.com,"PSC 0894, Box 4014, APO AE 06048",6461910006,data230,94,A
Matthew,Nolan,qbennett@example.com,"774 Leach Courts Apt. 673, East Marthafurt, KS 50551",8865950635,data200,94,A
Samuel,Wong,rpatel@example.com,"8154 Sullivan Shore Apt. 286, Heidiville, NY 08884",6279538418,data228,94,A
Dean,Mclaughlin,sydney43@example.net,"31694 Perez Causeway, Bobbyfurt, TX 83191",6235984513,data200,94,A
Emily,Hicks,thomas52@example.com,"70421 Goodwin Shore Apt. 502, Lake Savannah, CO 37531",8461419483,data228,94,A
Elaine,Perez,andersondanielle@example.org,"776 Kimberly Islands Suite 320, Scottville, AS 52737",8223656985,data201,93,A
Amy,Henry,blackmatthew@example.com,"05667 Jennifer Heights, North Teresa, HI 53024",6239878154,data220,93,A
Bradley,Thornton,blairdonald@example.org,"2927 Brown Ways, Lake Kevinberg, AZ 49924",7822509368,data201,93,A
Bruce,Roberts,christopher40@example.com,"Unit 6632 Box 3858, DPO AP 61735",7164817750,data228,93,A
Abigail,Sanchez,debramcintyre@example.org,"308 Jennifer Flat, Martinside, MT 92645",9558890117,data228,93,A
Andrew,Carter,ghull@example.net,"22336 Michael Harbors Apt. 017, West Tanya, SD 83508",9881580590,data226,93,A
Melissa,Owens,james57@example.com,"399 Rosario Loaf Apt. 925, Josechester, GA 05517",7915172329,data255,93,A
Christopher,Ortiz,jodi04@example.net,"697 Brown Underpass, Shelbyside, AL 18003",8124345884,data202,93,A
Paul,Davis,laura08@example.org,"Unit 8473 Box 9271, DPO AP 59385",8130451871,data226,93,A
Mark,Burke,mariabarnett@example.org,"164 Evan Bypass, North Timothyfurt, MA 60269",7872159461,data245,93,A
Jeffrey,Rose,mclaughlinwilliam@example.net,"3268 Justin Vista, Johnshire, OR 69867",7131199628,data201,93,A
Wendy,Bush,melissa01@example.com,"2708 Joseph Ridge, East Kennethstad, ND 33784",8976888398,data228,93,A
Andrew,Patton,mhoward@example.net,"36831 Franklin Flat, South Jillberg, AK 45312",6906992623,data220,93,A
Alexandria,Cummings,rrobinson@example.com,"18575 Zimmerman Locks, South Tylermouth, MP 53031",7343394962,data228,93,A
